Turno asociado1,Turno asociado2,Tipo de turno,Operativa
M2,MANANA 06:00 A 14:00 HORAS,TURNO MANANA,GENERICO
T3,TARDE DE 14:00 A 22:00 HORAS,TURNO TARDE,GENERICO
HUE,HUELGA 8 HORAS,HUELGA LABORAL,GENERICO
27,PARTIDO 08:00  16:00,TURNO PARTIDO,GENERICO
"BM8,BAJA MEDICA,8 HORAS,GENERICO	"
T1,TARDES DE 14:00 A 22:00 HORAS,TURNO TARDE,GENERICO
RF1,REFUERZO 05:00 A 00:000 HORAS,TURNO REFUERZO,GENERICO
AET,AUSENCIA ETT,ABSENTISMO,GENERICO
P10,MANANA 8 HORAS DE 06:00 A 14:00,TURNO MANANA,GENERICO
T05,TARDE 16:00-24:00,TURNO TARDE,NIKE
"BL8,BAJA MEDICA LARGA DURACION,8 HORAS,GENERICO	"
"AP8,ASUNTOS PROPIOS,8 HORAS,GENERICO	"
9,PARTIDO 08:30  17:00 ELECTROLUX,TURNO PARTIDO,ELECTROLUX
19,MANANAS 09:00  15:00,TURNO MANANA,GENERICO
"PR8,PERMISO RETRIBUIDO,8 HORAS,GENERICO	"
RED,PARTIDO 09:30  16:30 ELECTROLUX,TURNOS PARTIDOS REDUCCIONES,ELECTROLUX
80,REDUCIDO MANANA ZOO+,TURNOS MANANAS REDUCCIONES,ZOOPLUS
VA8,VACACIONES,8 HORAS.,GENERICO
CON,PARTIDO 08:06  16:30 ELECTROLUX,TURNO PARTIDO,ELECTROLUX
PAR,PARTIDO DE 09:00 A 17:30,TURNO PARTIDO,GENERICO
4,PARTIDO 09:00  17:30 ELECTROLUX,TURNO PARTIDO,ELECTROLUX
M8,PARTIDO 11:00 A 19:00,TURNO PARTIDO,GENERICO
PAT,PATERNIDAD,BAJAS MÉDICAS,GENERICO
MNN,MANANAS NIKE SEMANA 08:00 A 16:00,TURNO MANANA,NIKE
RIE,BAJA RIESGO EMBARAZO,INCAPACIDAD TEMPORAL,GENERICO
P1,PARTIDO 8 HORAS DE 09:00 A 17:00,TURNO PARTIDO,GENERICO
T06,TARDE JE NIKE 16:00  00:00,TURNO TARDE,NIKE
P5,PARTIDO 8 HORAS DE 09:30 A 17:30,TURNO PARTIDO,GENERICO
P16,PARTIDO 8 HORAS DE 12:00 A 20:00 HORAS,TURNO PARTIDO,GENERICO
P6,MANANA 8 HORAS DE 07:00 A 15:00,TURNO MANANA,GENERICO
17,PARTIDO 10:00  18:00 ELECTROLUX,TURNO PARTIDO,ELECTROLUX
V,VACACIONES SUBROGADOS,TURNO DE VACACIONES,GENERICO
P12,MANANA 8 HORAS DE 08:30 A 16:30,TURNO MANANA,GENERICO
P21,PARTIDO DE 09:00 A 18:00 HORAS,TURNO PARTIDO,GENERICO
P2,PARTIDO 8 HORAS DE 10:00 A 18:00,TURNO PARTIDO,GENERICO
6,PARTIDO 09:00  18:00 ELECTROLUX,TURNO PARTIDO,ELECTROLUX
P19,PARTIDO DE 11:30 A 19:30 HORAS,TURNO PARTIDO,GENERICO
